Season,Round,ID,Date,Enemy,G1_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G2_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G3_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G4_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G5_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G6_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G7_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G8_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G9_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player
第5回,5,26,2022/11/11,BsT,nobu,W,l,V,,nobu,W,l,Nm,,かいっく,D,w,W,,カニカマ,B,l,B,,くろっち,Nm,w,R,,みんち,R,l,R,,みんち,R,l,W,,,,,,,,,,,
第5回,6,27,2022/11/16,HGC,maho,Nm,w,Nm,,ヒヨぴー,V,w,V,,カニカマ,W,w,B,,poke,R,l,Nm,,poke,R,l,B,,エリス,B,l,V,,poke,R,l,W,,エリス,B,l,R,,,,,,
第5回,7,28,2022/11/20,Laurel,maho,Nm,w,B,,ホーク,V,l,Nm,,nobu,B,w,V,,ホーク,V,w,B,,ヒヨぴー,R,w,V,,くろっち,W,l,R,,くろっち,W,w,V,,,,,,,,,,,
第5回,t1,29,2022/11/28,肉ばけ窓,かいっく,D,w,E,,カニカマ,V,l,B,,nobu,B,w,E,,カニカマ,V,l,E,,ヒヨぴー,W,l,W,,くろっち,Nm,w,D,,ヒヨぴー,W,l,D,,カニカマ,V,w,R,,ヒヨぴー,W,l,R,
第6回∞,1,30,2023/02/01,INSPiRE,nanashi,D,w,R,,イクラ,R,l,E,,Liel,Nc,l,Nm,,みんち,W,l,R,,ホーク,E,w,Nc,,Liel,W,w,W,,イクラ,Nc,l,W,,みんち,R,l,Nc,,,,,,
第6回∞,2,31,2023/02/05,NULL,nanashi,D,w,D,,カニカマ,R,l,D,,イクラ,Nc,w,Nc,,ホーク,W,l,R,,みかにゃん,E,w,E,,カニカマ,R,l,E,,ホーク,W,l,W,,カニカマ,R,w,Nc,,ホーク,W,l,Nc,
第6回∞,3,32,2023/02/09,Laurel,nanashi,D,l,W,,platinum,Nc,w,E,,nanashi,D,w,E,,poke,E,l,E,,みんち,R,l,Nc,,イクラ,W,l,R,,みんち,R,l,D,,,,,,,,,,,
第6回∞,4,33,2023/02/13,trick,nanashi,D,l,E,,platinum,Nc,w,R,,カニカマ,Nm,w,R,,みんち,R,l,W,,nanashi,D,l,R,,Liel,W,w,Nc,,nanashi,D,w,Nc,,みんち,R,l,Nc,,みんち,R,l,B,
第6回∞,5,34,2023/02/21,Estella,nobu,Nm,w,V,,くろっち,E,l,W,,エリス,V,w,E,,カニカマ,R,w,R,,かいっく,D,w,E,,くろっち,E,w,D,,,,,,,,,,,,,,,,
第6回∞,6,35,2023/02/25,Rowen's Roar,母なるママ,Nc,w,Nm,,nanashi,D,l,Nc,,Liel,Nm,l,V,,maho,W,l,Nm,,エリス,V,w,W,,nanashi,D,w,W,,Liel,Nm,l,R,,maho,W,w,W,,Liel,Nm,w,W,
第6回∞AE,1,36,2023/02/01,HIT,poke,Nc,w,D,,かいっく,D,w,Nc,,nobu,E,w,D,,わいえす,R,l,R,,わいえす,R,l,W,,くろっち,W,w,Nm,,わいえす,R,w,Nc,,,,,,,,,,,
第6回∞AE,2,37,2023/02/05,UPD,そー,Nc,w,B,,nobu,E,l,B,,ヒヨぴー,W,l,W,,わいえす,R,w,V,,nobu,E,w,R,,ヒヨぴー,W,w,R,,かいっく,D,w,R,,,,,,,,,,,
第6回∞AE,3,38,2023/02/09,GBS,母なるママ,Nc,l,Nc,,くろっち,W,w,W,,nobu,E,l,R,,わいえす,R,w,W,,nobu,E,w,D,,母なるママ,Nc,w,B,,かいっく,D,w,W,,,,,,,,,,,
第6回∞AE,4,39,2023/02/13,OCS,母なるママ,Nc,w,W,,ホーク,B,l,D,,わいえす,R,l,W,,ホーク,B,w,E,,かいっく,D,l,E,,かいっく,D,l,Nc,,くろっち,W,w,R,,わいえす,R,l,R,,,,,,
第6回∞AE,5,40,2023/02/17,MSF,nobu,Nc,w,R,,かいっく,D,l,B,,くろっち,W,w,Nc,,ホーク,B,l,R,,ホーク,B,w,W,,かいっく,D,w,W,,カニカマ,R,w,D,,,,,,,,,,,
第6回∞AE,6,41,2023/02/25,MS Fairwind,かいっく,D,l,R,,カニカマ,V,l,D,,カニカマ,V,w,E,,わいえす,R,l,Nm,,nobu,Nm,w,E,,かいっく,D,l,W,,わいえす,R,l,E,,,,,,,,,,,
第6回∞AE,TOP32,42,2023/03/06,EVA,わいえす,R,w,Nm,,かいっく,Nm,l,W,,nobu,Nc,l,R,,くろっち,W,w,V,,ヒヨぴー,V,l,Nc,,nobu,Nc,l,V,,nobu,Nc,w,Nm,,ヒヨぴー,V,l,Nm,,,,,,
第7回,1,43,2023/05/10,,ヒヨぴー,R,l,V,,nanashi,D,l,W,,nanashi,D,l,Nc,,そー,V,w,Nm,,エリス,Nc,w,R,,ヒヨぴー,R,w,R,,nanashi,D,l,R,,maho,W,l,Nm,,,,,,
